Seed,LAP N,Depression Strength,Strictness,Hold Off,Number of Corrupted Sources,Noise Level,Context,Metric,Value
8,25,0,0.8,0,1,0.25,Validation,Accuracy,0.6547999978065491
8,25,0,0.8,0,1,0.25,Validation,Top 2 Accuracy,0.8222399950027466
8,25,0,0.8,0,1,0.25,Test,Accuracy,0.671500027179718
8,25,0,0.8,0,1,0.25,Test,Top 2 Accuracy,0.8320000171661377
8,25,1,0.8,0,1,0.25,Validation,Accuracy,0.6385599970817566
8,25,1,0.8,0,1,0.25,Validation,Top 2 Accuracy,0.8083199858665466
8,25,1,0.8,0,1,0.25,Test,Accuracy,0.6413999795913696
8,25,1,0.8,0,1,0.25,Test,Top 2 Accuracy,0.8169000148773193
8,25,0,0.8,0,1,0.5,Validation,Accuracy,0.6399199962615967
8,25,0,0.8,0,1,0.5,Validation,Top 2 Accuracy,0.8047199845314026
8,25,0,0.8,0,1,0.5,Test,Accuracy,0.6651999950408936
8,25,0,0.8,0,1,0.5,Test,Top 2 Accuracy,0.8306999802589417
8,25,1,0.8,0,1,0.5,Validation,Accuracy,0.6564000248908997
8,25,1,0.8,0,1,0.5,Validation,Top 2 Accuracy,0.8187999725341797
8,25,1,0.8,0,1,0.5,Test,Accuracy,0.6870999932289124
8,25,1,0.8,0,1,0.5,Test,Top 2 Accuracy,0.847100019454956
8,25,0,0.8,0,1,0.75,Validation,Accuracy,0.620959997177124
8,25,0,0.8,0,1,0.75,Validation,Top 2 Accuracy,0.7877600193023682
8,25,0,0.8,0,1,0.75,Test,Accuracy,0.6563000082969666
8,25,0,0.8,0,1,0.75,Test,Top 2 Accuracy,0.8240000009536743
8,25,1,0.8,0,1,0.75,Validation,Accuracy,0.627839982509613
8,25,1,0.8,0,1,0.75,Validation,Top 2 Accuracy,0.789359986782074
8,25,1,0.8,0,1,0.75,Test,Accuracy,0.6669999957084656
8,25,1,0.8,0,1,0.75,Test,Top 2 Accuracy,0.832099974155426
8,25,0,0.8,0,1,1.0,Validation,Accuracy,0.6115999817848206
8,25,0,0.8,0,1,1.0,Validation,Top 2 Accuracy,0.7730399966239929
8,25,0,0.8,0,1,1.0,Test,Accuracy,0.6638000011444092
8,25,0,0.8,0,1,1.0,Test,Top 2 Accuracy,0.8306000232696533
8,25,1,0.8,0,1,1.0,Validation,Accuracy,0.6160799860954285
8,25,1,0.8,0,1,1.0,Validation,Top 2 Accuracy,0.7831199765205383
8,25,1,0.8,0,1,1.0,Test,Accuracy,0.666700005531311
8,25,1,0.8,0,1,1.0,Test,Top 2 Accuracy,0.8310999870300293
8,25,0,0.8,0,2,0.25,Validation,Accuracy,0.6363999843597412
8,25,0,0.8,0,2,0.25,Validation,Top 2 Accuracy,0.8038399815559387
8,25,0,0.8,0,2,0.25,Test,Accuracy,0.6570000052452087
8,25,0,0.8,0,2,0.25,Test,Top 2 Accuracy,0.8180999755859375
8,25,1,0.8,0,2,0.25,Validation,Accuracy,0.6301599740982056
8,25,1,0.8,0,2,0.25,Validation,Top 2 Accuracy,0.7954400181770325
8,25,1,0.8,0,2,0.25,Test,Accuracy,0.6593999862670898
8,25,1,0.8,0,2,0.25,Test,Top 2 Accuracy,0.8252999782562256
8,25,0,0.8,0,2,0.5,Validation,Accuracy,0.5997599959373474
8,25,0,0.8,0,2,0.5,Validation,Top 2 Accuracy,0.7673599720001221
8,25,0,0.8,0,2,0.5,Test,Accuracy,0.6464999914169312
8,25,0,0.8,0,2,0.5,Test,Top 2 Accuracy,0.814300000667572
8,25,1,0.8,0,2,0.5,Validation,Accuracy,0.6207200288772583
8,25,1,0.8,0,2,0.5,Validation,Top 2 Accuracy,0.7856799960136414
8,25,1,0.8,0,2,0.5,Test,Accuracy,0.6686999797821045
8,25,1,0.8,0,2,0.5,Test,Top 2 Accuracy,0.8349999785423279
8,25,0,0.8,0,2,0.75,Validation,Accuracy,0.5863999724388123
8,25,0,0.8,0,2,0.75,Validation,Top 2 Accuracy,0.7590399980545044
8,25,0,0.8,0,2,0.75,Test,Accuracy,0.6496000289916992
8,25,0,0.8,0,2,0.75,Test,Top 2 Accuracy,0.8188999891281128
8,25,1,0.8,0,2,0.75,Validation,Accuracy,0.5753600001335144
8,25,1,0.8,0,2,0.75,Validation,Top 2 Accuracy,0.7486400008201599
8,25,1,0.8,0,2,0.75,Test,Accuracy,0.6488999724388123
8,25,1,0.8,0,2,0.75,Test,Top 2 Accuracy,0.8194000124931335
8,25,0,0.8,0,2,1.0,Validation,Accuracy,0.5385599732398987
8,25,0,0.8,0,2,1.0,Validation,Top 2 Accuracy,0.7156800031661987
8,25,0,0.8,0,2,1.0,Test,Accuracy,0.6310999989509583
8,25,0,0.8,0,2,1.0,Test,Top 2 Accuracy,0.7990000247955322
8,25,1,0.8,0,2,1.0,Validation,Accuracy,0.5648000240325928
8,25,1,0.8,0,2,1.0,Validation,Top 2 Accuracy,0.7365599870681763
8,25,1,0.8,0,2,1.0,Test,Accuracy,0.6650000214576721
8,25,1,0.8,0,2,1.0,Test,Top 2 Accuracy,0.8342999815940857
8,25,0,0.8,0,3,0.25,Validation,Accuracy,0.6182399988174438
8,25,0,0.8,0,3,0.25,Validation,Top 2 Accuracy,0.7907199859619141
8,25,0,0.8,0,3,0.25,Test,Accuracy,0.6593000292778015
8,25,0,0.8,0,3,0.25,Test,Top 2 Accuracy,0.8259999752044678
8,25,1,0.8,0,3,0.25,Validation,Accuracy,0.614799976348877
8,25,1,0.8,0,3,0.25,Validation,Top 2 Accuracy,0.7870399951934814
8,25,1,0.8,0,3,0.25,Test,Accuracy,0.6621000170707703
8,25,1,0.8,0,3,0.25,Test,Top 2 Accuracy,0.8263000249862671
8,25,0,0.8,0,3,0.5,Validation,Accuracy,0.5661600232124329
8,25,0,0.8,0,3,0.5,Validation,Top 2 Accuracy,0.7460799813270569
8,25,0,0.8,0,3,0.5,Test,Accuracy,0.6241000294685364
8,25,0,0.8,0,3,0.5,Test,Top 2 Accuracy,0.8069000244140625
8,25,1,0.8,0,3,0.5,Validation,Accuracy,0.5892800092697144
8,25,1,0.8,0,3,0.5,Validation,Top 2 Accuracy,0.759440004825592
8,25,1,0.8,0,3,0.5,Test,Accuracy,0.6563000082969666
8,25,1,0.8,0,3,0.5,Test,Top 2 Accuracy,0.8310999870300293
8,25,0,0.8,0,3,0.75,Validation,Accuracy,0.5284000039100647
8,25,0,0.8,0,3,0.75,Validation,Top 2 Accuracy,0.7065600156784058
8,25,0,0.8,0,3,0.75,Test,Accuracy,0.6212000250816345
8,25,0,0.8,0,3,0.75,Test,Top 2 Accuracy,0.7965999841690063
8,25,1,0.8,0,3,0.75,Validation,Accuracy,0.5419999957084656
8,25,1,0.8,0,3,0.75,Validation,Top 2 Accuracy,0.7123200297355652
8,25,1,0.8,0,3,0.75,Test,Accuracy,0.6485000252723694
8,25,1,0.8,0,3,0.75,Test,Top 2 Accuracy,0.8198000192642212
8,25,0,0.8,0,3,1.0,Validation,Accuracy,0.4818400144577026
8,25,0,0.8,0,3,1.0,Validation,Top 2 Accuracy,0.6674399971961975
8,25,0,0.8,0,3,1.0,Test,Accuracy,0.6011000275611877
8,25,0,0.8,0,3,1.0,Test,Top 2 Accuracy,0.7857999801635742
8,25,1,0.8,0,3,1.0,Validation,Accuracy,0.5171999931335449
8,25,1,0.8,0,3,1.0,Validation,Top 2 Accuracy,0.6937599778175354
8,25,1,0.8,0,3,1.0,Test,Accuracy,0.6572999954223633
8,25,1,0.8,0,3,1.0,Test,Top 2 Accuracy,0.8302000164985657
8,25,0,0.8,0,4,0.25,Validation,Accuracy,0.5967199802398682
8,25,0,0.8,0,4,0.25,Validation,Top 2 Accuracy,0.7692000269889832
8,25,0,0.8,0,4,0.25,Test,Accuracy,0.6495000123977661
8,25,0,0.8,0,4,0.25,Test,Top 2 Accuracy,0.8206999897956848
8,25,1,0.8,0,4,0.25,Validation,Accuracy,0.5848000049591064
8,25,1,0.8,0,4,0.25,Validation,Top 2 Accuracy,0.7588800191879272
8,25,1,0.8,0,4,0.25,Test,Accuracy,0.6370000243186951
8,25,1,0.8,0,4,0.25,Test,Top 2 Accuracy,0.8080999851226807
8,25,0,0.8,0,4,0.5,Validation,Accuracy,0.555840015411377
8,25,0,0.8,0,4,0.5,Validation,Top 2 Accuracy,0.7318400144577026
8,25,0,0.8,0,4,0.5,Test,Accuracy,0.640500009059906
8,25,0,0.8,0,4,0.5,Test,Top 2 Accuracy,0.8176000118255615
8,25,1,0.8,0,4,0.5,Validation,Accuracy,0.5357599854469299
8,25,1,0.8,0,4,0.5,Validation,Top 2 Accuracy,0.7063999772071838
8,25,1,0.8,0,4,0.5,Test,Accuracy,0.6195999979972839
8,25,1,0.8,0,4,0.5,Test,Top 2 Accuracy,0.7921000123023987
8,25,0,0.8,0,4,0.75,Validation,Accuracy,0.5079200267791748
8,25,0,0.8,0,4,0.75,Validation,Top 2 Accuracy,0.6947199702262878
8,25,0,0.8,0,4,0.75,Test,Accuracy,0.625
8,25,0,0.8,0,4,0.75,Test,Top 2 Accuracy,0.8097000122070312
8,25,1,0.8,0,4,0.75,Validation,Accuracy,0.5011199712753296
8,25,1,0.8,0,4,0.75,Validation,Top 2 Accuracy,0.68367999792099
8,25,1,0.8,0,4,0.75,Test,Accuracy,0.6262000203132629
8,25,1,0.8,0,4,0.75,Test,Top 2 Accuracy,0.8123999834060669
8,25,0,0.8,0,4,1.0,Validation,Accuracy,0.424479991197586
8,25,0,0.8,0,4,1.0,Validation,Top 2 Accuracy,0.6190400123596191
8,25,0,0.8,0,4,1.0,Test,Accuracy,0.5708000063896179
8,25,0,0.8,0,4,1.0,Test,Top 2 Accuracy,0.7675999999046326
8,25,1,0.8,0,4,1.0,Validation,Accuracy,0.4487999975681305
8,25,1,0.8,0,4,1.0,Validation,Top 2 Accuracy,0.6265599727630615
8,25,1,0.8,0,4,1.0,Test,Accuracy,0.6370999813079834
8,25,1,0.8,0,4,1.0,Test,Top 2 Accuracy,0.8102999925613403
8,25,0,0.8,0,0,0.0,Validation,Accuracy,0.6790400147438049
8,25,0,0.8,0,0,0.0,Validation,Top 2 Accuracy,0.8390399813652039
8,25,0,0.8,0,0,0.0,Test,Accuracy,0.677299976348877
8,25,0,0.8,0,0,0.0,Test,Top 2 Accuracy,0.8371999859809875
