Metric,Value,Corruption Type,Seed,LAP N,Depression Strength,Strictness,Hold Off,Number of Corrupted Sources,Corruption level
accuracy_source_0_corrupt_False_level_0,0.646103919,c_lbf,4,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_0_corrupt_False_level_0,0.82711041,c_lbf,4,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_1_corrupt_False_level_0,0.615451396,c_lbf,4,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_1_corrupt_False_level_0,0.798611104,c_lbf,4,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_2_corrupt_True_level_25,0.497656256,c_lbf,4,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_2_corrupt_True_level_25,0.653906226,c_lbf,4,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_3_corrupt_False_level_0,0.653124988,c_lbf,4,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_3_corrupt_False_level_0,0.827343762,c_lbf,4,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_4_corrupt_False_level_0,0.674218774,c_lbf,4,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_4_corrupt_False_level_0,0.821093738,c_lbf,4,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_5_corrupt_False_level_0,0.63671875,c_lbf,4,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_5_corrupt_False_level_0,0.807031274,c_lbf,4,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_6_corrupt_True_level_25,0.491406262,c_lbf,4,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_6_corrupt_True_level_25,0.642968774,c_lbf,4,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_7_corrupt_True_level_25,0.524999976,c_lbf,4,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_7_corrupt_True_level_25,0.671875,c_lbf,4,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_8_corrupt_False_level_0,0.649218738,c_lbf,4,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_8_corrupt_False_level_0,0.811718762,c_lbf,4,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_9_corrupt_True_level_25,0.498437494,c_lbf,4,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_9_corrupt_True_level_25,0.645312488,c_lbf,4,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy,0.588244617,c_lbf,4,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy,0.749920785,c_lbf,4,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
test_accuracy,0.641600013,c_lbf,4,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
test_top_2_accuracy,0.821500003,c_lbf,4,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_0_corrupt_False_level_0,0.641233742,c_lbf,4,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_0_corrupt_False_level_0,0.795454562,c_lbf,4,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_1_corrupt_False_level_0,0.625,c_lbf,4,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_1_corrupt_False_level_0,0.795138896,c_lbf,4,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_2_corrupt_True_level_25,0.499218762,c_lbf,4,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_2_corrupt_True_level_25,0.653906226,c_lbf,4,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_3_corrupt_False_level_0,0.645312488,c_lbf,4,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_3_corrupt_False_level_0,0.810937524,c_lbf,4,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_4_corrupt_False_level_0,0.64453125,c_lbf,4,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_4_corrupt_False_level_0,0.811718762,c_lbf,4,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_5_corrupt_False_level_0,0.638281226,c_lbf,4,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_5_corrupt_False_level_0,0.798437476,c_lbf,4,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_6_corrupt_True_level_25,0.48046875,c_lbf,4,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_6_corrupt_True_level_25,0.62890625,c_lbf,4,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_7_corrupt_True_level_25,0.513281226,c_lbf,4,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_7_corrupt_True_level_25,0.675000012,c_lbf,4,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_8_corrupt_False_level_0,0.631250024,c_lbf,4,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_8_corrupt_False_level_0,0.791406274,c_lbf,4,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_9_corrupt_True_level_25,0.5,c_lbf,4,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_9_corrupt_True_level_25,0.6640625,c_lbf,4,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy,0.58119458,c_lbf,4,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy,0.741761744,c_lbf,4,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
test_accuracy,0.639500022,c_lbf,4,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
test_top_2_accuracy,0.810299993,c_lbf,4,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_0_corrupt_False_level_0,0.633928597,c_lbf,4,25,0.1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_0_corrupt_False_level_0,0.811688304,c_lbf,4,25,0.1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_1_corrupt_False_level_0,0.618923604,c_lbf,4,25,0.1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_1_corrupt_False_level_0,0.805555582,c_lbf,4,25,0.1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_2_corrupt_True_level_25,0.5,c_lbf,4,25,0.1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_2_corrupt_True_level_25,0.66015625,c_lbf,4,25,0.1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_3_corrupt_False_level_0,0.626562476,c_lbf,4,25,0.1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_3_corrupt_False_level_0,0.807812512,c_lbf,4,25,0.1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_4_corrupt_False_level_0,0.65625,c_lbf,4,25,0.1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_4_corrupt_False_level_0,0.819531262,c_lbf,4,25,0.1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_5_corrupt_False_level_0,0.630468726,c_lbf,4,25,0.1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_5_corrupt_False_level_0,0.784375012,c_lbf,4,25,0.1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_6_corrupt_True_level_25,0.474999994,c_lbf,4,25,0.1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_6_corrupt_True_level_25,0.632031262,c_lbf,4,25,0.1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_7_corrupt_True_level_25,0.500781238,c_lbf,4,25,0.1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_7_corrupt_True_level_25,0.650781274,c_lbf,4,25,0.1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_8_corrupt_False_level_0,0.627343774,c_lbf,4,25,0.1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_8_corrupt_False_level_0,0.7890625,c_lbf,4,25,0.1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_9_corrupt_True_level_25,0.497656256,c_lbf,4,25,0.1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_9_corrupt_True_level_25,0.65234375,c_lbf,4,25,0.1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy,0.576045632,c_lbf,4,25,0.1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy,0.740415096,c_lbf,4,25,0.1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
test_accuracy,0.641799986,c_lbf,4,25,0.1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
test_top_2_accuracy,0.81309998,c_lbf,4,25,0.1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_0_corrupt_False_level_0,0.651785731,c_lbf,4,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
top_2_accuracy_source_0_corrupt_False_level_0,0.833603919,c_lbf,4,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
accuracy_source_1_corrupt_False_level_0,0.657986104,c_lbf,4,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
top_2_accuracy_source_1_corrupt_False_level_0,0.830729187,c_lbf,4,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
accuracy_source_2_corrupt_True_level_10,0.585156262,c_lbf,4,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
top_2_accuracy_source_2_corrupt_True_level_10,0.7734375,c_lbf,4,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
accuracy_source_3_corrupt_False_level_0,0.653124988,c_lbf,4,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
top_2_accuracy_source_3_corrupt_False_level_0,0.822656274,c_lbf,4,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
accuracy_source_4_corrupt_False_level_0,0.669531226,c_lbf,4,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
top_2_accuracy_source_4_corrupt_False_level_0,0.8359375,c_lbf,4,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
accuracy_source_5_corrupt_False_level_0,0.65234375,c_lbf,4,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
top_2_accuracy_source_5_corrupt_False_level_0,0.803125024,c_lbf,4,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
accuracy_source_6_corrupt_True_level_10,0.592187524,c_lbf,4,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
top_2_accuracy_source_6_corrupt_True_level_10,0.73828125,c_lbf,4,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
accuracy_source_7_corrupt_True_level_10,0.604687512,c_lbf,4,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
top_2_accuracy_source_7_corrupt_True_level_10,0.757031262,c_lbf,4,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
accuracy_source_8_corrupt_False_level_0,0.655468762,c_lbf,4,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
top_2_accuracy_source_8_corrupt_False_level_0,0.822656274,c_lbf,4,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
accuracy_source_9_corrupt_True_level_10,0.618749976,c_lbf,4,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
top_2_accuracy_source_9_corrupt_True_level_10,0.778124988,c_lbf,4,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
accuracy,0.633792758,c_lbf,4,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
top_2_accuracy,0.799112797,c_lbf,4,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
test_accuracy,0.6602,c_lbf,4,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
test_top_2_accuracy,0.833199978,c_lbf,4,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
accuracy_source_0_corrupt_False_level_0,0.614448071,c_lbf,4,25,1,0.2,0,4,"[0.1, 0.1, 0.1, 0.1]"
top_2_accuracy_source_0_corrupt_False_level_0,0.786525965,c_lbf,4,25,1,0.2,0,4,"[0.1, 0.1, 0.1, 0.1]"
accuracy_source_1_corrupt_False_level_0,0.604166687,c_lbf,4,25,1,0.2,0,4,"[0.1, 0.1, 0.1, 0.1]"
top_2_accuracy_source_1_corrupt_False_level_0,0.784722209,c_lbf,4,25,1,0.2,0,4,"[0.1, 0.1, 0.1, 0.1]"
accuracy_source_2_corrupt_True_level_10,0.572656274,c_lbf,4,25,1,0.2,0,4,"[0.1, 0.1, 0.1, 0.1]"
top_2_accuracy_source_2_corrupt_True_level_10,0.735156238,c_lbf,4,25,1,0.2,0,4,"[0.1, 0.1, 0.1, 0.1]"
accuracy_source_3_corrupt_False_level_0,0.602343738,c_lbf,4,25,1,0.2,0,4,"[0.1, 0.1, 0.1, 0.1]"
top_2_accuracy_source_3_corrupt_False_level_0,0.7890625,c_lbf,4,25,1,0.2,0,4,"[0.1, 0.1, 0.1, 0.1]"
accuracy_source_4_corrupt_False_level_0,0.619531274,c_lbf,4,25,1,0.2,0,4,"[0.1, 0.1, 0.1, 0.1]"
top_2_accuracy_source_4_corrupt_False_level_0,0.802343726,c_lbf,4,25,1,0.2,0,4,"[0.1, 0.1, 0.1, 0.1]"
accuracy_source_5_corrupt_False_level_0,0.603906274,c_lbf,4,25,1,0.2,0,4,"[0.1, 0.1, 0.1, 0.1]"
top_2_accuracy_source_5_corrupt_False_level_0,0.782031238,c_lbf,4,25,1,0.2,0,4,"[0.1, 0.1, 0.1, 0.1]"
accuracy_source_6_corrupt_True_level_10,0.544531226,c_lbf,4,25,1,0.2,0,4,"[0.1, 0.1, 0.1, 0.1]"
top_2_accuracy_source_6_corrupt_True_level_10,0.702343762,c_lbf,4,25,1,0.2,0,4,"[0.1, 0.1, 0.1, 0.1]"
accuracy_source_7_corrupt_True_level_10,0.574999988,c_lbf,4,25,1,0.2,0,4,"[0.1, 0.1, 0.1, 0.1]"
top_2_accuracy_source_7_corrupt_True_level_10,0.737500012,c_lbf,4,25,1,0.2,0,4,"[0.1, 0.1, 0.1, 0.1]"
accuracy_source_8_corrupt_False_level_0,0.612500012,c_lbf,4,25,1,0.2,0,4,"[0.1, 0.1, 0.1, 0.1]"
top_2_accuracy_source_8_corrupt_False_level_0,0.78125,c_lbf,4,25,1,0.2,0,4,"[0.1, 0.1, 0.1, 0.1]"
accuracy_source_9_corrupt_True_level_10,0.568750024,c_lbf,4,25,1,0.2,0,4,"[0.1, 0.1, 0.1, 0.1]"
top_2_accuracy_source_9_corrupt_True_level_10,0.735156238,c_lbf,4,25,1,0.2,0,4,"[0.1, 0.1, 0.1, 0.1]"
accuracy,0.591571629,c_lbf,4,25,1,0.2,0,4,"[0.1, 0.1, 0.1, 0.1]"
top_2_accuracy,0.763307989,c_lbf,4,25,1,0.2,0,4,"[0.1, 0.1, 0.1, 0.1]"
test_accuracy,0.616599977,c_lbf,4,25,1,0.2,0,4,"[0.1, 0.1, 0.1, 0.1]"
test_top_2_accuracy,0.796299994,c_lbf,4,25,1,0.2,0,4,"[0.1, 0.1, 0.1, 0.1]"
accuracy_source_0_corrupt_False_level_0,0.629870117,c_lbf,4,5,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_0_corrupt_False_level_0,0.810876608,c_lbf,4,5,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_1_corrupt_False_level_0,0.618923604,c_lbf,4,5,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_1_corrupt_False_level_0,0.797743082,c_lbf,4,5,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
