Metric,Value,Corruption Type,Seed,LAP N,Depression Strength,Strictness,Hold Off,Number of Corrupted Sources,Corruption level
accuracy_source_0_corrupt_True_level_25,0.480519474,c_lbf,8,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_0_corrupt_True_level_25,0.646103919,c_lbf,8,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_1_corrupt_True_level_25,0.501736104,c_lbf,8,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_1_corrupt_True_level_25,0.6640625,c_lbf,8,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_2_corrupt_False_level_0,0.616406262,c_lbf,8,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_2_corrupt_False_level_0,0.786718726,c_lbf,8,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_3_corrupt_True_level_25,0.508593738,c_lbf,8,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_3_corrupt_True_level_25,0.666406274,c_lbf,8,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_4_corrupt_False_level_0,0.628125012,c_lbf,8,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_4_corrupt_False_level_0,0.821093738,c_lbf,8,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_5_corrupt_False_level_0,0.628125012,c_lbf,8,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_5_corrupt_False_level_0,0.800000012,c_lbf,8,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_6_corrupt_False_level_0,0.58984375,c_lbf,8,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_6_corrupt_False_level_0,0.775781274,c_lbf,8,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_7_corrupt_False_level_0,0.616406262,c_lbf,8,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_7_corrupt_False_level_0,0.787500024,c_lbf,8,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_8_corrupt_True_level_25,0.487500012,c_lbf,8,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_8_corrupt_True_level_25,0.653906226,c_lbf,8,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_9_corrupt_False_level_0,0.629687488,c_lbf,8,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_9_corrupt_False_level_0,0.818750024,c_lbf,8,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy,0.569708467,c_lbf,8,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy,0.743187606,c_lbf,8,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
test_accuracy,0.611699998,c_lbf,8,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
test_top_2_accuracy,0.791700006,c_lbf,8,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_0_corrupt_True_level_25,0.480519474,c_lbf,8,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_0_corrupt_True_level_25,0.65422076,c_lbf,8,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_1_corrupt_True_level_25,0.499131948,c_lbf,8,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_1_corrupt_True_level_25,0.6484375,c_lbf,8,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_2_corrupt_False_level_0,0.616406262,c_lbf,8,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_2_corrupt_False_level_0,0.796875,c_lbf,8,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_3_corrupt_True_level_25,0.504687488,c_lbf,8,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_3_corrupt_True_level_25,0.659375012,c_lbf,8,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_4_corrupt_False_level_0,0.633593738,c_lbf,8,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_4_corrupt_False_level_0,0.811718762,c_lbf,8,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
